id,text,label,category,source,date
616.0,Strait of Hormuz maritime crisis fully staged by Hollywood film crews,Fake,political,conspiracyblog.net,2026-05-16
617.0,WHO ebola outbreak declared to force mandatory microchip vaccines globally,Fake,health,healthmyths.net,2026-05-20
618.0,Artemis II moon flyby faked using CGI inside secret NASA dome in Nevada,Fake,environment,moonhoax.net,2026-04-08
619.0,Cape Verde election won by mind control beams deployed on citizens,Fake,political,leakedtruth.net,2026-05-19
620.0,Ted Turner actually cloned in 1999 and clone died of battery failure,Fake,political,shockingtruth.org,2026-05-08
621.0,Atlantic cruise hantavirus was a bio-weapon experiment targeting elite passengers,Fake,health,conspiracyblog.net,2026-05-03
622.0,UN green energy report is a front to ban all consumer electronics forever,Fake,environment,savingsheist.org,2026-04-27
623.0,Cyprus-India partnership contains secret clause to deport all minority groups,Fake,political,fakenewssite.com,2026-05-01
624.0,Falta re-poll won by Debangshu Panda due to 1 lakh pre-programmed fake votes,Fake,political,politicalbuzz.net,2026-05-22
625.0,India's steel imports rising because government is building a space fortress,Fake,business,shockingtruth.org,2026-05-03
626.0,IMD heatwave forecasts are synthetic lies to cover up regional weather weapons,Fake,environment,climatedenialist.org,2026-05-12
627.0,CNG and LNG legal metrology amendment secretly measures household breathing air,Fake,business,savingsheist.org,2026-05-14
628.0,Shekha Jheel Ramsar designation is a front to hide active tactical missile silos,Fake,environment,leakedtruth.net,2026-05-06
629.0,NEET paper leak mastermind Shubham Khairnar replaced by clone in custody,Fake,political,conspiracyblog.net,2026-05-22
630.0,Actinarctus odissi tardigrade species engineered by army to infect ocean fish,Fake,environment,healthmyths.net,2026-05-16
,suvendu adhikari is the current CM of WB,Real,other,,2026-05-25T22:48:25.097300
,narendra modi is the current CM of WB,Fake,other,,2026-05-25T22:48:50.571432
,narendra modi is died,Fake,other,,2026-05-25T22:49:10.552453
,atal bihari bajpayee is dead,Real,other,,2026-05-25T22:50:10.174717
,"Mamta Banerjee is current CM of West Bengal
",Real,other,,2026-05-26T17:22:57.247286
,"NITISH KUMAR IS THE CM OF WEST BENGAL
",Fake,other,,2026-05-26T17:24:12.923452
,sun rises in the east,Real,other,,2026-05-26T17:31:21.878980
,"sun rises in the west
",Fake,other,,2026-05-26T17:31:49.194865
,virat kohli died in a car accident,Fake,other,,2026-05-30T00:08:44.985594
