id,headline,body_text,source,topic_category,label,credibility_score,has_emotional_language,uses_all_caps,num_exclamation_marks,source_domain_credibility,author_verified,publication_date
78,Strait of Hormuz maritime crisis fully staged by Hollywood film crews,"Baseless social media posts claim that the Strait of Hormuz naval escort operations and shipping blockade are completely fake, staged by Hollywood film crews on sets.",conspiracyblog.net,Politics & Government,FAKE,0.04,TRUE,FALSE,0,0.04,FALSE,2026-05-16
79,WHO ebola outbreak declared to force mandatory microchip vaccines globally,Conspiracy sites falsely claim that the WHO declared the Ebola outbreak in Africa as a public health emergency to force mandatory microchip injections across the globe.,healthmyths.net,Health & Medicine,FAKE,0.04,TRUE,FALSE,0,0.04,FALSE,2026-05-20
80,Artemis II moon flyby faked using CGI inside secret NASA dome in Nevada,"A viral conspiracy video claims that the Artemis II moon mission is entirely faked using computer-generated imagery inside a secret, highly protected NASA dome in Nevada.",moonhoax.net,Science & Environment,FAKE,0.04,TRUE,FALSE,0,0.04,FALSE,2026-04-08
81,Cape Verde election won by mind control beams deployed on citizens,Tabloid claims suggest that the opposition PAICV victory in Cape Verde was engineered using experimental high-frequency neural mind control beams deployed via local telecom towers.,leakedtruth.net,Politics & Government,FAKE,0.04,TRUE,FALSE,0,0.04,FALSE,2026-05-19
82,Ted Turner actually cloned in 1999 and clone died of battery failure," Baseless posts claim that CNN founder Ted Turner was replaced by an android clone in 1999, and his death in 2026 was actually due to a permanent internal battery depletion.",shockingtruth.org,Politics & Government,FAKE,0.04,TRUE,FALSE,0,0.04,FALSE,2026-05-08
83,Atlantic cruise hantavirus was a bio-weapon experiment targeting elite passengers,An alarmist post claims that the Andes hantavirus cluster on the Atlantic cruise ship was a deliberate biological weapon test conducted by a foreign state targeting elites.,conspiracyblog.net,Health & Medicine,FAKE,0.04,TRUE,FALSE,0,0.04,FALSE,2026-05-03
84,UN green energy report is a front to ban all consumer electronics forever, baselessly claims that the UN report on mineral mining is a secret agenda designed to permanently confiscate and ban all private smartphones and laptops under green regulations.,savingsheist.org,Science & Environment,FAKE,0.04,TRUE,FALSE,0,0.04,FALSE,2026-04-27
85,Cyprus-India partnership contains secret clause to deport all minority groups,A fabricated article claims that the Cyprus-India strategic partnership contains a secret annex allowing both nations to illegally deport minority groups without judicial review.,fakenewssite.com,Politics & Government,FAKE,0.04,TRUE,FALSE,0,0.04,FALSE,2026-05-01
86,Falta re-poll won by Debangshu Panda due to 1 lakh pre-programmed fake votes,An unverified claim states that Debangshu Panda's election victory was pre-programmed into Falta's voting machines weeks before the actual re-poll happened.,politicalbuzz.net,Politics & Government,FAKE,0.04,TRUE,FALSE,0,0.04,FALSE,2026-05-22
87,India's steel imports rising because government is building a space fortress,A sensational conspiracy post claims India became a net steel importer because the government is secretly constructing a orbital steel shield space fortress in low orbit.,shockingtruth.org,Finance & Economy,FAKE,0.04,TRUE,FALSE,0,0.04,FALSE,2026-05-03
88,IMD heatwave forecasts are synthetic lies to cover up regional weather weapons,Conspiracy theorists claim that the IMD summer heatwave forecasts are entirely fabricated to hide military tests of satellite-based weather control weapons.,climatedenialist.org,Science & Environment,FAKE,0.04,TRUE,FALSE,0,0.04,FALSE,2026-05-12
89,CNG and LNG legal metrology amendment secretly measures household breathing air,A false alarm post warns that the Legal Metrology amendment contains hidden clauses allowing utilities to install sensors measuring and taxing private indoor breathing air.,savingsheist.org,Finance & Economy,FAKE,0.04,TRUE,FALSE,0,0.04,FALSE,2026-05-14
90,Shekha Jheel Ramsar designation is a front to hide active tactical missile silos,Baseless claims assert that the designation of Shekha Jheel as a Ramsar site was done to clear civilian populations and hide active tactical thermonuclear missile silos.,leakedtruth.net,Science & Environment,FAKE,0.04,TRUE,FALSE,0,0.04,FALSE,2026-05-06
91,NEET paper leak mastermind Shubham Khairnar replaced by clone in custody,Conspiracy sites claim that the NEET leak mastermind Shubham Khairnar was secretly replaced by a genetically engineered clone in prison to protect corporate accomplices.,conspiracyblog.net,Politics & Government,FAKE,0.04,TRUE,FALSE,0,0.04,FALSE,2026-05-22
92,Actinarctus odissi tardigrade species engineered by army to infect ocean fish,A fabricated post claims the newly discovered Actinarctus odissi tardigrade was bio-engineered in military labs to permanently infect and wipe out local commercial fisheries.,healthmyths.net,Science & Environment,FAKE,0.04,TRUE,FALSE,0,0.04,FALSE,2026-05-16
